id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,number_of_listings
6.4074E+17,Beautiful Family Home in East Toronto!,5659052,Imran,,Greenwood-Coxwell,43.67644,-79.32938,Entire home/apt,,28,6,2022-08-16,0.21,1,0,0,STR-2309-FJCXVP,1
6.40782E+17,Spacious 1-bedroom condo in Entertainment District,213717093,Yasmin,,Waterfront Communities-The Island,43.64559791,-79.38983925,Entire home/apt,,28,9,2024-01-27,0.32,1,0,3,STR-2307-GCSBHS,1
6.41204E+17,Luxury Master bedroom in the heart of Toronto,462385538,Ivan,,Waterfront Communities-The Island,43.64215,-79.38079,Private room,130,28,2,2022-07-31,0.07,1,364,0,STR-2205-GSBVHG,1
6.41287E+17,bright cozy 1 bedroom roncy,24153556,Kelby,,Roncesvalles,43.6404159,-79.4410185,Entire home/apt,140,1,0,,,1,237,0,STR-2410-FMDVPQ,1
6.4134E+17,"Lake view suite 2B 2Bath free parking, DT Toronto",462421192,Zainub,,Waterfront Communities-The Island,43.64194001,-79.38157104,Entire home/apt,350,2,60,2024-10-26,2.1,1,158,6,STR-2206-GFYKVF,1
6.41668E+17,"Little Portugal, Safe, Sweet + Outdoor Courtyard",10061029,Gg,,Little Portugal,43.64811,-79.42609,Entire home/apt,88,28,7,2024-06-27,0.26,2,325,2,,2
6.41851E+17,Furnished Monthly Rental -  1 Bdrm 1bath & Office,102521942,Eric,,Waterfront Communities-The Island,43.6469263,-79.3734286,Entire home/apt,199,30,11,2024-08-21,0.39,1,321,1,STR-2203-JGJXVM,1
6.51206E+17,Home in Carleton Village,3709333,Julie,,Weston-Pellam Park,43.67232171,-79.45960896,Entire home/apt,168,2,47,2024-10-26,1.65,1,8,8,STR-2206-HZVXVM,1
6.51417E+17,Lovely 1-bedroom in Toronto - Long term available,117545771,Kajsa,,Dovercourt-Wallace Emerson-Junction,43.66549,-79.43946,Entire home/apt,188,2,81,2024-10-21,2.8,1,339,23,STR-2206-GGMRVF,1
6.51561E+17,Shared condo & shared bathroom.,7025410,Dev,,North St.James Town,43.6708767,-79.37387253,Shared room,80,28,0,,,1,89,0,,1
6.51606E+17,High Floor & Spacious Corner Unit @ Harbourfront,464789344,Billal,,Waterfront Communities-The Island,43.6426286,-79.3805207,Entire home/apt,908,1,112,2024-10-25,3.91,1,169,40,STR-2206-HFKDVJ,1
6.51684E+17,Ultra Luxurious Condo w/ tons of Modern Amenities,212514923,Ryan,,Waterfront Communities-The Island,43.6462,-79.39386,Entire home/apt,348,3,73,2024-10-20,2.62,1,149,24,STR-2206-GHYKVF,1
6.52372E+17,Justin Private Room > In A quiet Area> YYZ Airport,457563697,Que Huong,,Willowridge-Martingrove-Richview,43.68834,-79.54269,Private room,,1,62,2024-02-29,2.17,1,0,6,STR-2206-HJLKVK,1
6.52751E+17,MASTER BEDROOM WITH A LAKEVIEW ON THE HARBOURFRONT,448241454,Sanchez,,Waterfront Communities-The Island,43.63906,-79.38955,Private room,,30,2,2023-03-25,0.07,10,0,0,,10
